review,polarity
privacy least put option appear offline. mean people like big pressure seen online like need response every message else called seenzone only. wanna facebook read newsfeed wanna response message want to. pls reconsidered review. tried turn chat still see online.,0
"messenger issues ever since last update, initial received messages get pushed messenger app get notification facebook app messenger app. open facebook app happen see message. click icon opens messenger. subsequent messages go messenger app, unless close chat head... start notification go facebook app.",0
profile time wife anybody one post view would take profile view once. try view tells page requested available. i've restarted phone even cleard cache i've uninstalled reinstalled app still it. please fix thank,0
new features suck us working back button guys make videos able slid left exit video. force close facebook exit,0
"forced reload uploading pic replying comment last night tried reply comment uploading photo phone. press button select photos app automatically goes back main page. occasions, could enter gallery select image soon selected image press done, program, again, forced reload suddenly go back main page. please fix change rating. thank you.",0
"idk can't edit posts? things profile picture, edit it, becomes grey says longer available. please fix. htc desire. rate 5 stars shown fixed đ",0
major flaws constant updates always getting installed messages. use awhile longer installed. none apps this!,0
video issues since forced update videos play black box middle them. edited photo grayed stays top news feeds timeline even let delete it. could give zero star would. like ever update something always working. broke fix it?,0
"update completely destroyed facebook. loads status screen try click anything scroll app goes home screen. even say force close, load finally begin scrolling even 5 scrolls later app closes.... never happened updated fb!!",0
"posting issues last week, there's ghost post top feeds uploaded photo. closing app fully fixed it, happen platform. trying uninstall fix it.",0
"heck?! can't get status updates chronological order...half comments post...it worked fine last update...keeps kicking app reason. let tag people without name jumbled. edit post, shows unedited version top feed. i'm 2 seconds away uninstalling.",0
suck. time want see something error come could open check internet satting. else using applications things net hance using 4g network. realy suck.,0
"connection issues everytime try click link profile keep getting refresh. whether wifi , lte, 4g i'm finding continuously close app multitasking load periodically.",0
"external links working updated latest version.. could able open links facebook .. says connect network time , plz check network connection .. time connection 4g network full speed .. plz fix issue asap ..thanks",0
"fix please... i've tried editing two profile pictures past month time do.. post it, also go away. fades picture always top time line. one december 14th, second one tonight top time line let delete them, anything it. really buggin' me. please fix this.",0
"buggy edit post mobile app, post freezes even restarting phone resolve / unfreeze. happen via desktop app pc, happen previous android app version.",0
"connection issues app always says can't refresh now, try later particular net. wifi works well enough. even play online games. refresh feed ig twitter can't refresh fb feed? fix please.",0
"can't get back facebook email thats wrong password. matter sucks because, really want talk grandchildren. that's way see hear time.",0
"can't connect right trying open links facebook browser, receive can't connect right error message. items news feed continue load.",0
"error cannot edit post pictures. moment do, change save appears like ur uploading yet done post news feed still reinstall app. still happens even.",0
whenever post update try edit hit save tells post longer available may removed yet original post still page...please fix issue,0
"keeps updating updates time, slows phone crawl. installs like 3 minutes. updates never produce anything different anything use. app phone issues with.",0
"load everytime try use facebook, well lately. says trouble loading every aspect. 2 days i've tried restarting phone. closing app. work",0
wish posts popped order posted get bumped top every time someone comments it. end seeing ones even though old missing newer ones.,0
"buggy. reinstall several times. issues editing uploaded photo news feed post. editable via image caption. image greyed news feed like pending photo upload & go away. also can't upload photo phone gallery (share) albums. open fb & upload photo, select gallery add album.",0
"can't install (error code: -505) samsung galaxy note edge, issues update uninstalled app can't reinstall it. total bs!",0
